,Date,Latitude,Longitude,Year,Month,Day
0,2011-08-29,42.3916233333333,-88.0891633333333,2011,8,29
1,2011-08-29,42.3913483333333,-88.0891633333333,2011,8,29
2,2011-08-29,42.3910216666667,-88.0891566666667,2011,8,29
3,2011-08-29,42.3906366666667,-88.0891583333333,2011,8,29
4,2011-08-29,42.390409999999996,-88.0888583333333,2011,8,29
5,2011-08-29,42.390395,-88.08831500000001,2011,8,29
6,2011-08-29,42.3906733333333,-88.0880016666667,2011,8,29
7,2011-08-29,42.391026666666704,-88.0880016666667,2011,8,29
8,2011-08-29,42.391403333333294,-88.0880033333333,2011,8,29
9,2011-08-29,42.391718333333294,-88.08799499999999,2011,8,29
10,2011-08-29,42.392038333333296,-88.0879883333333,2011,8,29
11,2011-08-29,42.39241,-88.0880783333333,2011,8,29
12,2011-08-29,42.3928,-88.0883316666667,2011,8,29
13,2011-08-29,42.3932566666667,-88.08837,2011,8,29
14,2011-08-29,42.3936,-88.0882316666667,2011,8,29
15,2011-08-29,42.3932033333333,-88.0884166666667,2011,8,29
16,2011-08-29,42.3927916666667,-88.0883116666667,2011,8,29
17,2011-08-29,42.3924766666667,-88.08821,2011,8,29
18,2011-08-29,42.392385,-88.08869666666669,2011,8,29
19,2011-08-29,42.392098333333294,-88.0891133333333,2011,8,29
20,2011-08-29,42.392179999999996,-88.0894983333333,2011,8,29
21,2011-08-29,42.3924283333333,-88.08979000000001,2011,8,29
22,2011-08-29,42.3927216666667,-88.09004166666669,2011,8,29
23,2011-08-29,42.3929583333333,-88.0903,2011,8,29
24,2011-08-29,42.392990000000005,-88.09089499999999,2011,8,29
25,2011-08-29,42.393001666666706,-88.0916116666667,2011,8,29
26,2011-08-29,42.3930083333333,-88.09201,2011,8,29
27,2011-08-29,42.39302,-88.0925483333333,2011,8,29
28,2011-08-29,42.39310333333329,-88.0931816666667,2011,8,29
29,2011-08-29,42.3931183333333,-88.0937366666667,2011,8,29
30,2011-08-29,42.393423333333295,-88.09389499999999,2011,8,29
31,2011-08-29,42.3937433333333,-88.094075,2011,8,29
32,2011-08-29,42.394104999999996,-88.09425,2011,8,29
33,2011-08-29,42.394478333333296,-88.0942233333333,2011,8,29
34,2011-08-29,42.394859999999994,-88.0941983333333,2011,8,29
